Date,Offence,Sum Value,year
2014-06-01,Miscellaneous Crimes Against Society,1030,96672
2014-06-01,Possession of Weapons,690,24168
2014-06-01,Public Order Offences,3863,16112
2014-06-01,Robbery,2148,8056
2014-06-01,Sexual Offences,1402,8056
2014-06-01,Theft,18787,16112
2014-06-01,Vehicle Offences,6959,16112
2014-06-01,Violence Against the Person,17019,12084
2014-07-01,Arson and Criminal Damage,5771,8056
2014-07-01,Burglary,6185,8056
2014-07-01,Drug Offences,7352,8056
2014-07-01,Historical Fraud and Forgery,10,4028
2014-07-01,Miscellaneous Crimes Against Society,1173,96672
2014-07-01,Possession of Weapons,689,24168
2014-07-01,Public Order Offences,4475,16112
2014-07-01,Robbery,1999,8056
2014-07-01,Sexual Offences,1559,8056
2014-07-01,Theft,19199,16112
2014-07-01,Vehicle Offences,6999,16112
2014-07-01,Violence Against the Person,18090,12084
2014-08-01,Arson and Criminal Damage,5419,8056
2014-08-01,Burglary,6322,8056
2014-08-01,Drug Offences,6569,8056
2014-08-01,Historical Fraud and Forgery,11,4028
2014-08-01,Miscellaneous Crimes Against Society,1067,96672
2014-08-01,Possession of Weapons,682,24168
2014-08-01,Public Order Offences,3862,16112
2014-08-01,Robbery,2022,8056
2014-08-01,Sexual Offences,1620,8056
2014-08-01,Theft,18202,16112
2014-08-01,Vehicle Offences,6534,16112
2014-08-01,Violence Against the Person,16256,12084
2014-09-01,Arson and Criminal Damage,5660,8056
2014-09-01,Burglary,6319,8056
2014-09-01,Drug Offences,6501,8056
2014-09-01,Historical Fraud and Forgery,10,4028
2014-09-01,Miscellaneous Crimes Against Society,1147,96672
2014-09-01,Possession of Weapons,690,24168
2014-09-01,Public Order Offences,4572,16112
2014-09-01,Robbery,2029,8056
2014-09-01,Sexual Offences,1513,8056
